city,company_addr,company_industry,company_name,create_time,day_salary,district,job_direction,job_edu,job_exp,job_name,month_salary,publish_man,publish_man_post,publish_time,retain1,retain2,retain3,retain4,source,update_time,url
北京,海淀区,"金融,数据服务",百融金融信息服务股份有限公司,,,海淀区,1,本科,应届毕业生,JAVA工程师,10k-20k,百融金服,百融金服,2018-10-30 17:32:45,,,,,拉勾网,,https://www.lagou.com/jobs/5034322.html
北京,海淀区,数据服务,北京赛时科技有限公司,,,海淀区,1,本科,3-5年,高级java开发工程师,20k-35k,北京赛时,北京赛时,2018-11-06 10:12:44,,,,,拉勾网,,https://www.lagou.com/jobs/5286914.html
北京,昌平区,电子商务 移动互联网,北京海融创科技有限公司,,,昌平区,1,不限,应届毕业生,Java开发工程师,3k-4k,北京海融创科技有限公司,北京海融创科技有限公司,2018-11-06 17:49:26,,,,,拉勾网,,https://www.lagou.com/jobs/5158219.html
北京,海淀区,"移动互联网,数据服务",北京字节跳动科技有限公司,,,海淀区,1,本科,不限,Java开发实习生-企业产品,3k-4k,字节跳动,字节跳动,2018-11-08 15:44:03,,,,,拉勾网,,https://www.lagou.com/jobs/5230406.html
北京,丰台区,"信息安全,数据服务",北京信成未来科技有限公司,,,丰台区,1,硕士,1年以下,Java开发,3k-6k,信成未来科技,信成未来科技,2018-11-04 09:47:17,,,,,拉勾网,,https://www.lagou.com/jobs/4848483.html
北京,朝阳区,移动互联网,北京九识佳科技有限公司,,,朝阳区,1,本科,应届毕业生,实习JAVA/PHP开发,4k-8k,小肚皮App,小肚皮App,2018-11-08 09:51:34,,,,,拉勾网,,https://www.lagou.com/jobs/3155873.html
北京,海淀区,移动互联网,北京首都在线科技股份有限公司,,,海淀区,1,本科,应届毕业生,Java实习生（可转正）,2k-4k,CDS,CDS,2018-11-07 09:28:37,,,,,拉勾网,,https://www.lagou.com/jobs/3994072.html
北京,昌平区,"移动互联网,金融",北京金科梦科技有限公司,,,昌平区,1,不限,不限,Java开发工程师,2k-4k,北京金科梦科技有限公司,北京金科梦科技有限公司,2018-11-08 09:11:13,,,,,拉勾网,,https://www.lagou.com/jobs/5152977.html
北京,朝阳区,"金融,其他",平安健康保险股份有限公司,,,朝阳区,1,本科,应届毕业生,Java开发工程师（实习生招聘）,3k-5k,平安健康保险,平安健康保险,2018-11-08 09:20:09,,,,,拉勾网,,https://www.lagou.com/jobs/4703786.html
北京,海淀区,数据服务,精硕科技（北京）股份有限公司,,,海淀区,1,本科,应届毕业生,java开发工程师（北京校招）,10k-15k,AdMaster,AdMaster,2018-10-30 14:20:10,,,,,拉勾网,,https://www.lagou.com/jobs/5227673.html
北京,朝阳区,"移动互联网,O2O",北京三快在线科技有限公司,,,朝阳区,1,本科,不限,【实习】java研发工程师-分布式系统方向,4k-5k,美团点评,美团点评,2018-11-08 10:56:41,,,,,拉勾网,,https://www.lagou.com/jobs/5132408.html
北京,海淀区,"医疗健康,数据服务",生命奇点（北京）科技有限公司,,,海淀区,1,本科,应届毕业生,大数据工程师/Java,8k-16k,生命奇点,生命奇点,2018-11-06 19:05:04,,,,,拉勾网,,https://www.lagou.com/jobs/5235189.html
北京,朝阳区,"电子商务,O2O",北京云杉世界信息技术有限公司,,,朝阳区,1,本科,应届毕业生,JAVA开发工程师,10k-15k,美菜网,美菜网,2018-11-08 15:08:59,,,,,拉勾网,,https://www.lagou.com/jobs/4016758.html
北京,海淀区,"移动互联网,教育",北京天天乐学教育科技有限公司,,,海淀区,1,本科,应届毕业生,（实习）Java开发工程师,4k-6k,天天乐学,天天乐学,2018-11-02 16:13:28,,,,,拉勾网,,https://www.lagou.com/jobs/5201722.html
北京,朝阳区,"移动互联网 ,文化娱乐",北京太合娱乐文化发展股份有限公司,,,朝阳区,1,本科,应届毕业生,Java开发实习生,2k-3k,太合娱乐,太合娱乐,2018-11-08 17:29:34,,,,,拉勾网,,https://www.lagou.com/jobs/5060812.html
北京,海淀区,移动互联网,北京汉迪移动互联网科技股份有限公司,,,海淀区,4,本科,应届毕业生,Python开发实习生,5k-8k,iHandy,iHandy,2018-11-08 10:10:54,,,,,拉勾网,,https://www.lagou.com/jobs/4816724.html
北京,海淀区,数据服务,北京升鑫网络科技有限公司,,,海淀区,4,硕士,应届毕业生,python开发实习生,2k-3k,青藤云安全,青藤云安全,2018-11-07 11:54:17,,,,,拉勾网,,https://www.lagou.com/jobs/5179861.html
北京,海淀区,移动互联网,百度时代网络技术(北京)有限公司,,,海淀区,4,本科,应届毕业生,python开发工程师（20年毕业实习岗）,3k-6k,百度,百度,2018-11-07 16:42:08,,,,,拉勾网,,https://www.lagou.com/jobs/5280206.html
北京,朝阳区,移动互联网,北京摩尔妈咪网络科技有限公司,,,朝阳区,4,本科,应届毕业生,python开发实习生,3k-6k,摩尔妈妈,摩尔妈妈,2018-11-06 14:21:21,,,,,拉勾网,,https://www.lagou.com/jobs/4912615.html
